NER_Label,Entity,Counts
B-ORG,antonio,1
B-ORG,"anugerah,",1
B-ORG,anugrah nusantara,3
B-ORG,"anung,",1
B-ORG,"aocc,",1
B-ORG,aocc.,1
B-ORG,ap,2
B-ORG,ap ii,1
B-ORG,apa,3
B-ORG,apbn,7
B-ORG,"apbn 2016,",1
B-ORG,"apbn,",2
B-ORG,apbn.,3
B-ORG,"apbn.""intinya",1
B-ORG,apbn.terkait,1
B-ORG,apo,1
B-ORG,april,1
B-ORG,april 2022,1
B-ORG,arab,3
B-ORG,"arab,",2
B-ORG,"arab,""",1
B-ORG,arabdia,1
B-ORG,arabica,1
B-ORG,aramco,3
B-ORG,aramco).3.,1
B-ORG,arcandra,6
B-ORG,"arcandra,",2
B-ORG,arcandra.perusahaan,2
B-ORG,"argikultur,",1
B-ORG,ari,4
B-ORG,ari.warga,2
B-ORG,ariana,1
B-ORG,"ariana,",1
B-ORG,ariana.setelah,1
B-ORG,ariana.webinar,1
B-ORG,aries,5
B-ORG,arifin,12
B-ORG,"arifin,",1
B-ORG,ario,1
B-ORG,ario.penandatanganan,1
B-ORG,"arista palembang,",3
B-ORG,arit',1
B-ORG,aro,1
B-ORG,arsal,2
B-ORG,arsal ismail,1
B-ORG,"arsal, indonesia",1
B-ORG,arsjad,1
B-ORG,"arsjad,",1
B-ORG,arum,1
B-ORG,aruna,2
B-ORG,arya,1
B-ORG,as,1
B-ORG,asam,4
B-ORG,asampltsenergi,1
B-ORG,asdp,5
B-ORG,asean,14
B-ORG,"asean,",1
B-ORG,aseansecara,1
B-ORG,aseanselain,3
B-ORG,asem,1
B-ORG,ash,4
B-ORG,"ash,",1
B-ORG,ashari,4
B-ORG,asia,12
B-ORG,"asia pasifik,""",1
B-ORG,"asia tenggara,""",2
B-ORG,asia tenggara.hal,3
B-ORG,"asia,",1
B-ORG,"asia-pasifik, jepang",2
B-ORG,asian,5
B-ORG,asih,1
B-ORG,asik,1
B-ORG,asisten,3
B-ORG,asn,1
B-ORG,asosiasi,12
B-ORG,asosiasi energi,3
B-ORG,asosiasi energi surya indonesia,2
B-ORG,"asosiasi energi surya indonesia,",1
B-ORG,"asosiasi pabrikan modul surya indonesia,",1
B-ORG,asosiasi pengusaha indonesia,1
B-ORG,asosiasi umkm indonesia,1
B-ORG,asri,8
B-ORG,"assembly/aipa,",1
B-ORG,assessment-lca)dengan,2
B-ORG,association,1
B-ORG,astawa,1
