NER_Label,Entity,Counts
B-ORG,analisenergi,1
B-ORG,analisindustribankmandiri,1
B-ORG,analiskeuangan,1
B-ORG,analysis,1
B-ORG,ananda,8
B-ORG,anc,1
B-ORG,anders,1
B-ORG,andumof,1
B-ORG,andynoorsaman,8
B-ORG,aneka,8
B-ORG,anekatambangtbk,1
B-ORG,ang,1
B-ORG,angin,4
B-ORG,angkasa,4
B-ORG,angkasapuraii,1
B-ORG,angkatan,3
B-ORG,ani,4
B-ORG,anin,3
B-ORG,anindya,1
B-ORG,anjingx,1
B-ORG,anne,3
B-ORG,anoda,1
B-ORG,ant,11
B-ORG,antaeng,1
B-ORG,antam,1
B-ORG,anthony,1
B-ORG,anti,1
B-ORG,antisipasi,4
B-ORG,antm,1
B-ORG,anung,1
B-ORG,aocc,3
B-ORG,aoe,1
B-ORG,ap,4
B-ORG,apac,3
B-ORG,aparat,1
B-ORG,apbd,8
B-ORG,apdesi,1
B-ORG,apdesisidrap,1
B-ORG,apindo,2
B-ORG,apkasi,1
B-ORG,apls,2
B-ORG,app,2
B-ORG,apple,16
B-ORG,april,29
B-ORG,april2022,2
B-ORG,aprisindo,1
B-ORG,apsyfi,2
B-ORG,aq,1
B-ORG,aqaba,1
B-ORG,arab,2
B-ORG,aram,1
B-ORG,aramco,11
B-ORG,arb,1
B-ORG,arca,1
B-ORG,arcandra,1
B-ORG,arch,3
B-ORG,area,6
B-ORG,argentina,1
B-ORG,ari,1
B-ORG,arie,1
B-ORG,arif,1
B-ORG,arifin,6
B-ORG,ario,1
B-ORG,arisan,1
B-ORG,arist,4
B-ORG,aritonang,1
B-ORG,arko,4
B-ORG,arno,6
B-ORG,ars,1
B-ORG,arsal,1
B-ORG,artaci,1
B-ORG,arthane,2
B-ORG,arthaneli,2
B-ORG,arthasekuritaskemarin,1
B-ORG,artikel,3
B-ORG,aru,5
B-ORG,arun,3
B-ORG,arutmin,1
B-ORG,arya,1
B-ORG,as,37
B-ORG,asa,2
B-ORG,asakeramiktbk,1
B-ORG,asam,4
B-ORG,asampt,2
B-ORG,asamptba3,1
B-ORG,asamtbk,1
B-ORG,asean,26
B-ORG,aseansel,1
B-ORG,ash,2
B-ORG,asi,2
B-ORG,asia,60
B-ORG,asiaiii,15
B-ORG,asian,1
B-ORG,asiapasifik,2
B-ORG,asiatbk,1
B-ORG,asif,1
B-ORG,asii,1
B-ORG,asin,3
B-ORG,askambiel,1
B-ORG,asn,4
B-ORG,asosiasi,16
B-ORG,asosiasiserat,1
B-ORG,asri,2
B-ORG,ass,1
B-ORG,assa,1
B-ORG,assemb,3
B-ORG,astra,9
