NER_Label,Entity,Counts
B-ORG,annealing,2
B-ORG,anoda,1
B-ORG,ant,21
B-ORG,antam,3
B-ORG,antisipasi,2
B-ORG,antm,3
B-ORG,anung,1
B-ORG,anwar,2
B-ORG,ao,2
B-ORG,aocc,16
B-ORG,ap,7
B-ORG,ap ii,8
B-ORG,apa,7
B-ORG,apa strategi pengembangan industri hijau ? selengkapnya,1
B-ORG,apbi,2
B-ORG,apbn,2
B-ORG,apci,2
B-ORG,aperd,2
B-ORG,apls,2
B-ORG,apollonius,1
B-ORG,april,10
B-ORG,april 2022,1
B-ORG,ar,2
B-ORG,ara,2
B-ORG,arab,32
B-ORG,aramco dikebutaramco,2
B-ORG,arb,2
B-ORG,arcandra,5
B-ORG,area,7
B-ORG,arfiyan,4
B-ORG,ari,3
B-ORG,arief,2
B-ORG,arif,1
B-ORG,arifin,28
B-ORG,ario,1
B-ORG,arist,6
B-ORG,arko,1
B-ORG,arkora,3
B-ORG,arno,2
B-ORG,ars,5
B-ORG,arsal,1
B-ORG,arsjad,6
B-ORG,arso,2
B-ORG,artaci,1
B-ORG,arthane,3
B-ORG,arthaneli,2
B-ORG,artikel,4
B-ORG,arutm,3
B-ORG,arvi,8
B-ORG,arviyan,2
B-ORG,arviyan arifin,2
B-ORG,arya,6
B-ORG,arys aditya,2
B-ORG,as,13
B-ORG,asa,2
B-ORG,asahan,5
B-ORG,asahan aluminium,2
B-ORG,asam,15
B-ORG,asam bangun,1
B-ORG,asam tbk,1
B-ORG,asarab saudi,2
B-ORG,asean,56
B-ORG,ash,1
B-ORG,asia,32
B-ORG,asia tenggara,9
B-ORG,asian,9
B-ORG,asisten,7
B-ORG,asisten deputi kerja sama investasi,1
B-ORG,askegiatan,1
B-ORG,asosiasi,35
B-ORG,asosiasi energi,1
B-ORG,asosiasi energi surya indonesia,6
B-ORG,asri,17
B-ORG,ass,1
B-ORG,assembly,1
B-ORG,association,2
B-ORG,astaga,1
B-ORG,asthika,1
B-ORG,astra,1
B-ORG,astra agro lestari tbk,1
B-ORG,ative,2
B-ORG,atm,6
B-ORG,au,1
B-ORG,audit executive,2
B-ORG,aum,1
B-ORG,austin,2
B-ORG,australia,4
B-ORG,australian,1
B-ORG,aut,2
B-ORG,authority,2
B-ORG,auto,1
B-ORG,ava,1
B-ORG,aws,1
B-ORG,ayo,4
B-ORG,az,5
B-ORG,azet,3
B-ORG,b20,2
B-ORG,baa,2
B-ORG,baa2,2
B-ORG,babak,5
B-ORG,bacbie,2
B-ORG,badak,14
B-ORG,badak 4mw,2
B-ORG,badan,124
B-ORG,badan antariksa jepang,1
B-ORG,badan energi dunia,1
B-ORG,badan energi internasional,5
B-ORG,badan energi terbarukan internasional,3
B-ORG,badan geologi,10
B-ORG,badan geologi 2019,3
B-ORG,badan geologi kementerian energi dan sumber daya mineral,3
B-ORG,badan geologi kementerian esdm,3
B-ORG,badan koordinasi penanaman modal,1
B-ORG,badan pengkajian dan penerapan teknologi,1
B-ORG,badan pusat statistik,5
B-ORG,badan tenaga atom internasional,2
B-ORG,badan usaha,3
B-ORG,badan usaha ketenagalistrikan tanah air,1
B-ORG,badan usaha listrik,1
B-ORG,badan usaha milik negara,11
B-ORG,badan usaha milik negara ( bumn ) sektor pertambangan,1
B-ORG,badan usaha milik negara uni emirat arab,2
B-ORG,bah,1
B-ORG,bahlil,13
B-ORG,bahlil sesumbar,5
B-ORG,baja otomotif,2
B-ORG,bakrie,19
B-ORG,bakrie group,1
B-ORG,bakrie incar,1
B-ORG,bakrie telecom,4
B-ORG,baku,4
B-ORG,balai,5
B-ORG,bale,3
B-ORG,baleg,1
B-ORG,bali,84
B-ORG,bali -,1
B-ORG,bali3,1
B-ORG,balikpapan,1
B-ORG,balitbang kementerian energi dan sumber daya mineral,2
B-ORG,balkondes,2
B-ORG,bampende,2
B-ORG,banana,2
B-ORG,bandar,2
B-ORG,bandung,6
B-ORG,bang,1
B-ORG,bangka,8
B-ORG,bangka belitung,1
B-ORG,bangkiangsidem,1
B-ORG,bangladesh,4
B-ORG,bank,94
B-ORG,bank kesejahteraan ekonomi,1
B-ORG,bank mandiri,4
B-ORG,bank negara,2
B-ORG,bank rakyat,2
B-ORG,bank rakyat indonesia,2
B-ORG,bank umum,1
B-ORG,banten,3
B-ORG,bantensa,1
B-ORG,bap,2
B-ORG,bapak,1
B-ORG,bar,1
B-ORG,bara,1
B-ORG,bara lestari,1
B-ORG,barel,1
B-ORG,barito,10
B-ORG,barito pacific,5
B-ORG,barro,1
B-ORG,basir,3
B-ORG,basuki,2
B-ORG,bat,25
B-ORG,batam,12
B-ORG,batan,1
B-ORG,batang,15
B-ORG,batanghari,1
B-ORG,baterai ri,4
B-ORG,bateri,2
B-ORG,battero energy co ltd,1
B-ORG,batu,6
B-ORG,batu bara,3
B-ORG,batu bara ri advertisement scroll,2
B-ORG,batubara,4
B-ORG,bau,38
B-ORG,bauran,15
B-ORG,bauran ebt,2
B-ORG,bauran energi,12
B-ORG,bauran energi primer,1
B-ORG,bawa,7
B-ORG,bayan,7
B-ORG,bayu,16
B-ORG,bazar,1
B-ORG,bb,12
B-ORG,bbc,2
B-ORG,bbca,2
B-ORG,bbg,7
B-ORG,bbk,1
B-ORG,bbni,4
B-ORG,bbri,12
B-ORG,bc indonesia,1
B-ORG,bca,4
B-ORG,bcfd,1
B-ORG,bd,7
B-ORG,bdg,1
B-ORG,beberkan,3
B-ORG,begawan bumn,2
B-ORG,bei,56
B-ORG,bei ),1
B-ORG,beijing,1
B-ORG,bej,1
B-ORG,bek,1
B-ORG,belanda,2
B-ORG,belitung,3
B-ORG,bell,9
B-ORG,benj,2
B-ORG,benny,2
B-ORG,beras,2
B-ORG,berdikari,1
B-ORG,berli,2
B-ORG,berlin,1
B-ORG,bersih,3
B-ORG,bersinergi,1
B-ORG,bertenor lima,2
B-ORG,bess,4
B-ORG,best,1
B-ORG,best workplace environment,1
B-ORG,beyond,3
B-ORG,beyond coal,2
B-ORG,bi,3
B-ORG,biang,1
B-ORG,bicara potensi besar ekonomi digital ri,1
B-ORG,bid,12
B-ORG,bidang tata kelola mineral dan batu bara,1
B-ORG,biden,1
B-ORG,bidik,1
B-ORG,big vision,2
B-ORG,bimasena energy team,2
B-ORG,bin,13
B-ORG,binary,1
B-ORG,binsar pand,1
B-ORG,bintan,7
B-ORG,biodiesel,2
B-ORG,bioethanol,1
B-ORG,biogass,2
B-ORG,biro,15
B-ORG,biro komunikasi,4
B-ORG,biro komunikasi layanan informasi publik,1
B-ORG,biro komunikasi publik,1
B-ORG,biro statistik tenaga kerja,1
B-ORG,birol,1
B-ORG,bisnis batu,1
B-ORG,biznet networks,1
B-ORG,bjti port,1
B-ORG,bk,8
B-ORG,bke,1
B-ORG,bkpm,55
B-ORG,bkpm bahlil,5
B-ORG,bks,2
B-ORG,bla,1
B-ORG,blok,8
B-ORG,blok brantas,1
B-ORG,blok migas,1
B-ORG,blok migas brantas,1
