NER_Label,Entity,Counts
B-ORG,arthane,2
B-ORG,arthaneli,2
B-ORG,artikel,3
B-ORG,aru,4
B-ORG,arun,1
B-ORG,arutmin,1
B-ORG,arya,1
B-ORG,as,35
B-ORG,asa,2
B-ORG,asa keramik tbk,1
B-ORG,asam,4
B-ORG,asam tbk,1
B-ORG,asampt,2
B-ORG,asamptba3,1
B-ORG,asean,21
B-ORG,ash,2
B-ORG,asi,2
B-ORG,asia,22
B-ORG,asia pasifik,2
B-ORG,asia tbk,1
B-ORG,asian,1
B-ORG,asii,1
B-ORG,asn,3
B-ORG,asosiasi,11
B-ORG,asosiasi serat,1
B-ORG,asri,1
B-ORG,ass,1
B-ORG,assa,1
B-ORG,astra,8
B-ORG,astra agro lestari tbk,1
B-ORG,astrindo,1
B-ORG,astro,1
B-ORG,asx 200,1
B-ORG,atlas resources,2
B-ORG,atlas resourcesari,2
B-ORG,atr,1
B-ORG,au,6
B-ORG,aum,2
B-ORG,aus,1
B-ORG,australia,3
B-ORG,author,1
B-ORG,autoparts,1
B-ORG,aver,1
B-ORG,aw,2
B-ORG,ax,2
B-ORG,axio,3
B-ORG,ay,1
B-ORG,ayala,1
B-ORG,b - 20,1
B-ORG,b20,7
B-ORG,ba,2
B-ORG,back,1
B-ORG,bad [unk],1
B-ORG,badan,151
B-ORG,badan administrasi informasi energi ( eia,1
B-ORG,badan anggaran,1
B-ORG,badan energi dunia,1
B-ORG,badan energi internasional,7
B-ORG,badan energi terbarukan internasional,2
B-ORG,badan geologi,8
B-ORG,badan geologi 2019,3
B-ORG,badan geologi kementerian energi dan sumber daya mineral,4
B-ORG,badan geologi kementerian esdm,2
B-ORG,badan layanan umum badan pengelola dana perkebunan kelapa sawit,1
B-ORG,badan meteorologi klimatologi dan geofisika,1
B-ORG,badan pengatur hilir minyak dan gas bumi,1
B-ORG,badan pengawas,1
B-ORG,badan pengelola,1
B-ORG,badan prakiraan cuaca eropa,1
B-ORG,badan pusat statistik,1
B-ORG,badan riset dan inovasi nasional,2
B-ORG,badan swasta,1
B-ORG,badan usaha,5
B-ORG,badan usaha milik,1
B-ORG,badan usaha milik negara,2
B-ORG,badan usaha milik negara ( bumn ) sektor pertambangan,3
B-ORG,badan usaha milik negara uni emirat arab,2
B-ORG,badan usaha milik swasta,1
B-ORG,badung,1
B-ORG,bah,3
B-ORG,bahan,2
B-ORG,bahasa,4
B-ORG,bahlil,6
B-ORG,bai,1
B-ORG,bailout,1
B-ORG,bak,2
B-ORG,bakar,2
B-ORG,bakrie,20
B-ORG,bakrie autoparts,1
B-ORG,bakrie telecom,2
B-ORG,baku,3
B-ORG,balai,1
B-ORG,baleg,2
B-ORG,bali mandara,2
B-ORG,balisel,2
B-ORG,bancass,1
B-ORG,bandung,1
B-ORG,bangka,14
B-ORG,bank,163
B-ORG,bank 2018,1
B-ORG,bank asing,1
B-ORG,bank bni roundtable [unk],1
B-ORG,bank bri,1
B-ORG,bank btpn,1
B-ORG,bank danamon5 . 75moody [unk] s,1
B-ORG,bank dunia,3
B-ORG,bank ekspor - impor china,1
B-ORG,bank indonesia,13
B-ORG,bank kesejahteraan ekonomi,1
B-ORG,bank mandiri,1
B-ORG,bank of england,1
B-ORG,bank of japan,1
B-ORG,bank permata,1
B-ORG,bank rakyat,1
B-ORG,bank rakyat indonesia,2
B-ORG,bank sentral amerika serikat,4
B-ORG,bank sentral as,4
B-ORG,bank sentral australia,2
B-ORG,bank sentral eropa,1
B-ORG,bank syariah,1
B-ORG,bank tabungan negara tbk,1
B-ORG,bank umum,1
B-ORG,bank victoria,1
B-ORG,banpu,1
B-ORG,banpu minerals,1
B-ORG,banta,1
B-ORG,banten,1
B-ORG,bantensa,1
B-ORG,bantuan investasi,1
B-ORG,bap,3
B-ORG,bapak,4
B-ORG,bara,8
B-ORG,barack,1
B-ORG,barito,17
B-ORG,barito pacific,2
B-ORG,barr,1
B-ORG,basa,2
B-ORG,basel,2
B-ORG,basir,7
B-ORG,bat,7
B-ORG,batam,1
B-ORG,batan,1
B-ORG,battery,2
B-ORG,batu,9
B-ORG,batu bara,12
B-ORG,batu bara ri,1
B-ORG,batu bara terkemuka,1
B-ORG,bau,17
B-ORG,bauran,1
B-ORG,bauran energi,2
B-ORG,bavaria,1
B-ORG,baw,2
B-ORG,bawa,2
B-ORG,bawono,6
B-ORG,bayan resources,2
B-ORG,bayan resources tbk,1
B-ORG,bayan resourcesby,1
B-ORG,bazar,1
B-ORG,bb,6
B-ORG,bbc,3
B-ORG,bbca,5
B-ORG,bbhi,1
B-ORG,bbkp,1
B-ORG,bbm,1
B-ORG,bbni,4
B-ORG,bbri,13
B-ORG,bbtn,1
B-ORG,bc indonesia,3
B-ORG,bca,1
B-ORG,bd,1
B-ORG,bea,1
B-ORG,bec,2
B-ORG,begin,2
B-ORG,bei,32
B-ORG,beijing,4
B-ORG,beis,2
B-ORG,belanda,10
B-ORG,belgia,2
B-ORG,belitung,3
B-ORG,bell,6
B-ORG,benang,1
B-ORG,benua kuning,1
B-ORG,benz,3
B-ORG,beom,1
B-ORG,berkshire,1
B-ORG,berkshire hathaway,1
B-ORG,berpotensi,2
B-ORG,bersih,3
B-ORG,bert,1
B-ORG,beruang merah,1
B-ORG,bess,3
B-ORG,best,1
B-ORG,best energy,1
B-ORG,bgtg,1
B-ORG,bi,63
B-ORG,bid,14
B-ORG,bidang tata kelola mineral dan batu bara,1
B-ORG,biden,2
B-ORG,bidik,3
B-ORG,big ben,1
B-ORG,bilateral,1
B-ORG,bild am sonntag,1
B-ORG,bill,1
B-ORG,billboard,1
B-ORG,bimasena energy team,1
B-ORG,bin,2
B-ORG,bina,1
B-ORG,binary,1
B-ORG,binary unit,1
B-ORG,bintan,1
B-ORG,bio,2
B-ORG,bio energi,1
B-ORG,biodiesel,1
B-ORG,bioethanol,1
B-ORG,bioskop,2
B-ORG,bip,3
B-ORG,bipi,3
B-ORG,biro,21
B-ORG,biro statistik tenaga kerja,1
B-ORG,biro tenaga kerja amerika serikat,1
B-ORG,birol,1
B-ORG,bke,1
B-ORG,bksl,3
B-ORG,bl,6
B-ORG,bles,2
B-ORG,blok,11
B-ORG,blok brantas,2
B-ORG,blok migas,2
B-ORG,blok migas brantas,2
B-ORG,bloom,5
B-ORG,bloomberg,6
B-ORG,blu,1
B-ORG,blue,8
B-ORG,bm,2
B-ORG,bmc,1
B-ORG,bmkg,1
B-ORG,bmri,8
B-ORG,bmtr,1
B-ORG,bmw,1
B-ORG,bmw group indonesia,1
B-ORG,bnbr,9
B-ORG,bnga,1
B-ORG,bni,12
B-ORG,bnli ),1
B-ORG,bnpb,1
B-ORG,bobby,3
B-ORG,boe,2
B-ORG,boeing,1
B-ORG,boj,4
B-ORG,bollywood,1
B-ORG,bond,3
B-ORG,boris,4
B-ORG,borneo,4
B-ORG,bos,1
B-ORG,bos facebook,2
B-ORG,bos pertamina,2
B-ORG,boss,1
B-ORG,boss89,1
B-ORG,box,1
B-ORG,boy,3
B-ORG,bp,30
B-ORG,bp batam,3
B-ORG,bp world statistic,1
B-ORG,bpbd,1
B-ORG,bpd,1
B-ORG,bph migas,1
B-ORG,bph migas m,1
B-ORG,bpi,1
B-ORG,bpk,1
B-ORG,bpp,4
B-ORG,bpp ) rata - rata listrik,2
B-ORG,bps,23
B-ORG,br,2
B-ORG,brantas,13
B-ORG,brasil,2
B-ORG,brazil,1
B-ORG,break,1
B-ORG,bri,21
B-ORG,brik,1
B-ORG,brin,2
B-ORG,bris,3
B-ORG,british,3
B-ORG,bro,2
B-ORG,brodjo,1
B-ORG,brothers,1
B-ORG,brown,1
B-ORG,brpt,3
B-ORG,brussel,1
B-ORG,bssr,1
B-ORG,bssr3,1
B-ORG,bt,17
B-ORG,btc,1
B-ORG,btel,1
B-ORG,btpn,6
B-ORG,bts,1
B-ORG,budapest,2
B-ORG,budi,4
B-ORG,bukit,9
B-ORG,bukit energi investama,2
B-ORG,bul,2
B-ORG,bulan,1
B-ORG,bumi,8
B-ORG,bumi resources,1
B-ORG,bumi resourcesbumi1140,1
B-ORG,bumi resourcesbumi137,1
B-ORG,bumm,1
B-ORG,bumn,105
B-ORG,bumn gas rusia,1
B-ORG,bupati,2
B-ORG,bursa,21
B-ORG,bursa asia,2
B-ORG,bursa asia - pasifik,2
B-ORG,bursa efek indonesia,11
B-ORG,bursa eropa,4
B-ORG,bursa inggris,1
B-ORG,bursa intercontinental exchange,1
B-ORG,bursa malaysia derivatif,1
B-ORG,bursa malaysia derivatif exchange,1
B-ORG,bursa malaysia excahnge,1
B-ORG,bursa malaysia exchange,1
B-ORG,bursa saham,1
B-ORG,bursa saham amerika serikat,5
B-ORG,bursa saham asia,1
B-ORG,bursa saham benua kuning,1
B-ORG,bursa saham eropa,1
B-ORG,bursa wall street,1
B-ORG,buru,1
B-ORG,business,1
B-ORG,butik,1
B-ORG,butik emas,1
B-ORG,byan,1
B-ORG,bye,7
B-ORG,bye batubara,2
B-ORG,c,2
B-ORG,ca,1
B-ORG,cac,2
B-ORG,cad,2
B-ORG,cah,1
B-ORG,caixin,1
B-ORG,cakra,1
B-ORG,california,2
B-ORG,call,1
B-ORG,can,1
B-ORG,capex,5
B-ORG,capital management,1
B-ORG,cardano,1
B-ORG,carnegie,1
B-ORG,carrie,1
B-ORG,cast,1
B-ORG,cat,1
B-ORG,cbi,1
B-ORG,cc,4
B-ORG,cccc,10
B-ORG,ccus,1
B-ORG,ccus -,1
B-ORG,cea,1
B-ORG,ceko,1
B-ORG,celios,1
B-ORG,center,4
B-ORG,center 1,2
B-ORG,central,4
B-ORG,central asia,1
B-ORG,central asia tbk,2
B-ORG,central bank,1
B-ORG,central electricity authority,1
B-ORG,ceo,23
B-ORG,ceo & founder,1
B-ORG,ceo and founder wmpp,1
B-ORG,ceo and president director pt bakrie & brother tbk,1
B-ORG,ceo bp,1
B-ORG,ceo dan founder,2
B-ORG,ceo mercedes - benz,1
B-ORG,ceo microsoft,1
B-ORG,ceo mitsui,1
B-ORG,ceo origin energy,1
B-ORG,ceo pertamina nre,2
B-ORG,ceo pt widodo makmur perkasa,1
B-ORG,ceo schroder investment management indonesia,1
B-ORG,ceo siemens,1
B-ORG,ceo softbank,1
B-ORG,ceo star energy geothermal group,4
B-ORG,ceo tesla,1
B-ORG,cf,1
B-ORG,cgn,1
B-ORG,ch,1
B-ORG,chairman,2
B-ORG,champ,1
B-ORG,channel cuap cuap,1
B-ORG,chaos,1
B-ORG,charoen,1
B-ORG,chd,9
B-ORG,chdgx,2
B-ORG,chdoi,1
B-ORG,cheniere energy,2
B-ORG,chev,1
B-ORG,chevron,2
B-ORG,chief,2
B-ORG,chief executive officer,2
B-ORG,chief executive officer ignis energy holdings,2
B-ORG,chief executive officer pertamina nre dan,1
B-ORG,chief executive officer pertamina power indonesia,2
B-ORG,chief investment officer,1
B-ORG,china,53
B-ORG,"china communications construction dredging co . , ltd",2
B-ORG,china electricity council,2
B-ORG,china huadian corporation,1
B-ORG,chinabursa saham asia,1
B-ORG,chinese,1
B-ORG,christian,1
B-ORG,cianjur,3
B-ORG,cilacap,1
B-ORG,cimb niaga,1
B-ORG,cimb niaga sekuritas,1
B-ORG,cip,1
B-ORG,cir,1
B-ORG,cis,3
B-ORG,cisem,5
B-ORG,city,3
B-ORG,clean,4
B-ORG,clean edge asia,2
B-ORG,cleaning service,1
B-ORG,cleveland,1
B-ORG,climate,2
B-ORG,clo,1
B-ORG,close,6
B-ORG,cluster,1
B-ORG,cm,2
B-ORG,cnbc ],6
B-ORG,cnbc indonesia - pln,1
B-ORG,cnbc indonesia - ri,16
