NER_Label,Entity,Counts
B-ORG,abidin,1
B-ORG,abipr,7
B-ORG,abipraya,4
B-ORG,abiprayapltmsarana,1
B-ORG,abiprayaplts,1
B-ORG,abu,49
B-ORG,abudhabi,41
B-ORG,abudhabinationaloilcompany,3
B-ORG,abumanan,1
B-ORG,academyof,2
B-ORG,academyofrailway,1
B-ORG,academyofrailwaysciences,4
B-ORG,acc,4
B-ORG,aceh,11
B-ORG,acei,4
B-ORG,acen,1
B-ORG,acwa,2
B-ORG,acwapower,9
B-ORG,acwapowercompany,2
B-ORG,ad,28
B-ORG,ada,2
B-ORG,adala,1
B-ORG,adam,2
B-ORG,adani,2
B-ORG,adaro,6
B-ORG,adaroalumuniumindonesia,1
B-ORG,adaroenergy,3
B-ORG,adaroenergyindonesia,1
B-ORG,adarogreen,2
B-ORG,adaropower,5
B-ORG,adb,10
B-ORG,add,2
B-ORG,adda,1
B-ORG,adh,10
B-ORG,adhi,6
B-ORG,adhiguna,1
B-ORG,adhikarya,3
B-ORG,adhitya,1
B-ORG,adi,10
B-ORG,adiatma,2
B-ORG,adiperdanatbk,1
B-ORG,adipurakencana,1
B-ORG,adit,3
B-ORG,aditya,2
B-ORG,adityasannasazharijabarprov.co.idptlenindustri(persero),1
B-ORG,adiwibowo,3
B-ORG,adiwiyatamandiri,1
B-ORG,adji,1
B-ORG,administrator,1
B-ORG,admr,1
B-ORG,adne,5
B-ORG,adno,2
B-ORG,adnoc,23
B-ORG,adpmet,1
B-ORG,adr,2
B-ORG,adrian,6
B-ORG,adro,26
B-ORG,adro),1
B-ORG,adu,1
B-ORG,adv,2
B-ORG,adver,28
B-ORG,advertis,22
B-ORG,advertisement,9
B-ORG,advertisementsc,12
B-ORG,advertisementscrol,11
B-ORG,advertisementscroll,25
B-ORG,advertisementscrollto,6
B-ORG,advertisementscrolltoresumecontent,2
B-ORG,advertisementscrolltoresumecontent1,1
B-ORG,advertisementscrolltoresumecontentadvisoryboardhimpunanpenambangkuarsaindonesia,1
B-ORG,advertisementscrolltoresumecontentarifin,1
B-ORG,advertisementscrolltoresumecontentbaca,2
B-ORG,advertisementscrolltoresumecontentdanang,1
B-ORG,advertisementscrolltoresumecontentia,1
B-ORG,advertisementscrolltoresumecontentnikkei,1
B-ORG,advertisementscrolltoresumecontentrida,1
B-ORG,advertisementscrolltoresumecontenttonny,2
B-ORG,advisortaskforceescb20,2
